所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/生产订单/生产订单(#3206),施工单列表-发布时间支持手动排序,登录系统，进入施工单列表页面,"1.查看列表字段顺序，确认发布时间位置
2.点击发布时间列头，选择升序排序
3.点击发布时间列头，选择降序排序
4.切换到第2页，查看数据顺序","1.发布时间字段显示在收货地点字段后面
2.列表按发布时间升序排列（全量数据排序，非当前页）
3.列表按发布时间降序排列（全量数据排序，非当前页）
4.第2页数据仍然按照全量排序规则显示，不是仅对当前页排序",,1,功能测试,功能测试阶段
/生产订单/生产订单(#3206),预约送货份数-特定的使用类型，可以不用填写,登录系统，进入预约送货页面,"1.测试封条：选择产品一类为""单命""，使用类型为""封条""，不填写份数，点击保存
2.测试16K试卷袋：选择产品一类为""单命""，使用类型为""16K试卷袋""，不填写份数，点击保存
3.测试16K答题卡袋：选择产品一类为""单命""，使用类型为""16K答题卡袋""，不填写份数，点击保存
4.测试8K答题卡袋：选择产品一类为""单命""，使用类型为""8K答题卡袋""，不填写份数，点击保存
5.测试使用类型为空：选择产品一类为""单命""，使用类型为空，不填写份数，点击保存",1-5.保存成功，份数可以为空（目前份数都是非必填；其他使用类型是不是要改为必填，PC端和H5端都需要改）,,1,功能测试,功能测试阶段
/生产订单/生产订单(#3206),施工单明细-单命封签打印,登录系统，进入施工单明细页面,"1.单命产品测试：选择产品一类为""单独命卷""的产品，点击""单命封签打印""按钮
2.非单命产品测试：选择产品一类为非""单独命卷""的产品，点击""单命封签打印""按钮","1.单命产品：成功打开单命封签打印页面，显示封签内容
2.非单命产品：系统提示""仅支持单独命卷产品打印""",,1,功能测试,功能测试阶段
/生产订单/生产订单(#3206),施工单明细弹窗-产品编码和物流码,登录系统，进入施工单明细弹窗,1.查看生产订单明细列表,列表中显示每行产品对应的产品编码和物流码,,1,功能测试,功能测试阶段
/生产订单/生产订单(#3206),施工单明细弹窗-施工工艺合同-图书工艺，页面数据信息以及导出检查,登录系统，进入施工单明细弹窗,"1.鼠标移到""施工工艺合同""上，查看下拉菜单
2.点击""图书工艺""，查看页面字段取值","1.显示下拉按钮，包含""图书工艺""、""封扉工艺""、""部件工艺""三个选项
2.跳转到图书工艺界面，字段取值信息正确
3.
4.",,1,功能测试,功能测试阶段
/生产订单/生产订单(#3206),施工单明细弹窗-施工工艺合同-封扉工艺，页面数据信息以及导出检查,登录系统，进入施工单明细弹窗,"1.点击""封扉工艺""，查看页面字段（应删除""印刷费、加工费合计（元）、实付（5%）""，增加""产品编码""）
2.点击导出按钮","1.封扉工艺页面字段正确，页面排版与原型保持一致
2.成功导出word格式文件，内容正确",,1,功能测试,功能测试阶段
/生产订单/生产订单(#3206),施工单明细弹窗-施工工艺合同-部件工艺，页面数据信息以及导出检查,登录系统，进入施工单明细弹窗,"1.点击""部件工艺""，查看页面字段（应删除""晒版、重晒版、版费、印刷费、装订打包费、其他费用、加工费、实付金额""，增加""产品编码、下标""）
2.点击导出按钮","1.部件工艺页面字段正确，页面排版与原型保持一致
2.成功导出word格式文件，内容正确",,1,功能测试,功能测试阶段
/生产订单/生产订单(#3206),单命封签打印页面数据内容验证以及打印功能验证,登录系统，进入单命封签打印页面,"1.查看封签内容（名称、科目、使用类型、每捆本数、袋装标准）
2.不勾选""每页显示一个封签""，查看打印预览
3.勾选""每页显示一个封签""，查看打印预览
4.修改捆扎数为新值（如50），查看封签显示
5.修改捆扎数为0或负数","1.封签显示：名称（产品二类）、科目、使用类型、每捆本数（捆扎数）、袋装标准
2.一页显示6个封签
3.一页显示1个封签
4.每捆本数更新为修改后的值
5.系统提示捆扎数必须为正整数",,1,功能测试,功能测试阶段
/样书管理/成书送样明细表(#3311),统计合计值显示,登录系统，进入成书送样明细表页面,"1.设置查询条件并查询
2.查看查询条件下方的统计数据（已关联、生产中、待送样、已送样）
3.修改筛选条件（如选择特定产品），点击查询，查看统计数据","1.统计数据正确显示""已关联""、""生产中""、""待送样""、""已送样""状态的条目数
2.统计数据仅统计查询结果中的数据，不是全量数据",,1,功能测试,功能测试阶段
/样书管理/成书送样明细表(#3311),按钮样式调整,登录系统，进入成书送样明细表页面,"1.查看""待关联""按钮
2.查看""待通知""按钮
3.查看""待送样""按钮","1.""待关联""按钮显示为灰色
2.""待通知""按钮显示为蓝色
3.""待送样""按钮显示为红色",,2,功能测试,功能测试阶段
/样书管理/成书送样明细表(#3311),预约单号字段及查询,登录系统，进入成书送样明细表页面,"1.查看已送样状态的记录，确认预约单号显示
2.查看未送样状态的记录，确认预约单号字段
3.在预约单号输入框输入部分单号（如""YY202""），点击查询
4.在预约单号输入框输入完整单号，点击查询
5.在预约单号输入框输入不存在的单号，点击查询","1.已送样的记录显示关联的预约单号
2.未送样的记录预约单号字段为空
3.列表显示所有包含""YY202""的预约单号记录
4.列表显示匹配该预约单号的记录
5.列表显示为空，提示无匹配数据",,1,功能测试,功能测试阶段
物料管理/退纸单(#3302),新建退纸单-调拨数量计算,登录系统，进入新建退纸单页面,"1.正常计算：填写调拨吨数（如2.5吨），查看调拨数量字段
2.修改不反算：手动修改调拨数量为其他值，查看调拨吨数
3.边界值测试：填写调拨吨数为0，查看调拨数量
4.小数测试：填写调拨吨数为小数（如1.25吨），查看调拨数量
5.负数测试：填写调拨吨数为负数（如-1吨），查看系统反应","1.调拨数量自动计算显示（调拨数量=调拨吨数*转换率）
2.调拨数量修改成功，调拨吨数保持不变，不反算
3.调拨数量计算为0或系统提示调拨吨数不能为0
4.调拨数量正确计算（支持小数运算）
5.系统提示调拨吨数不能为负数或不允许输入负数",,1,功能测试,功能测试阶段
/其他系统(#3655),物料领用列表页面，导出明细支持导出全部明细,登录系统，进入物料领用列表页面,"1.多页数据导出：设置查询条件并查询（结果超过1页），点击""导出明细""按钮
2.单页数据导出：设置查询条件，查询结果仅1页，点击""导出明细""按钮
3.筛选后导出：设置多个筛选条件（如时间范围、产品类型），点击查询，点击""导出明细""按钮
4.无数据导出：设置查询条件，查询结果为空，点击""导出明细""按钮","1.导出文件包含所有查询出来的生产订单明细，不仅是当前页
2.导出文件包含该页所有生产订单明细
3.导出文件仅包含筛选后的所有生产订单明细
4.系统提示无数据可导出或导出空文件",,1,功能测试,功能测试阶段
/其他系统(#3655),产品列表页面，批量修改功能优化,登录系统，进入产品列表页面,"1.保持排序：选择多个产品进行批量修改，保存修改，检查修改后产品排序规则
2.修改已拆单元数：选择多个产品，点击批量修改，修改""已拆单元数""字段，保存
3.已拆单元数边界值：选择产品进行批量修改，修改""已拆单元数""为0或负数，保存
4.修改停销产品：在批量修改界面的销售状态查询中选择""停销""，查询出停销产品，选择停销产品进行批量修改，保存
5.销售状态默认值：点击批量修改，查看销售状态查询条件
6.销售状态可选停销：点击批量修改，点击销售状态下拉框","1.产品列表仍保持之前的排序规则，不被改变
2.""已拆单元数""字段修改成功，所有选中产品更新
3.系统提示已拆单元数必须为正整数或给出相应校验提示
4.停销产品可以被批量修改，修改成功
5.销售状态默认选择""立项、报订、征订""，不包含停销
6.销售状态选项中包含""停销""选项，可以选择",,1,功能测试,功能测试阶段
/其他系统(#3655),重量维护页面功能优化,登录系统，进入重量维护页面,"1.修改印刷厂：选择一条记录，修改印刷厂（从加工厂供应商中选择），保存
2.印刷厂同步：修改印刷厂，点击同步按钮
3.部件排序号同步：选中一条数据，勾选其他数据行，点击同步按钮，检查部件排序号同步情况
4.部件排序号查询：在部件排序号输入框输入查询内容（如""01""），点击查询","1.印刷厂修改成功
2.印刷厂信息同步成功，参考其他可编辑字段的同步功能
3.选中数据行的部件排序号同步到勾选的数据行
4.列表显示所有包含""01""的部件排序号记录，支持模糊查询",,1,功能测试,功能测试阶段
/其他系统(#3655),批量立项-复制建立产品,登录系统，进入批量立项页面,"1.选择一个有套装关系的部件产品
2.通过复制建立新产品
3.查看新产品的""所属套装""字段",1.新产品的"所属套装"字段为空，不继承原产品的套装关系,,1,功能测试,功能测试阶段
/其他系统(#3655),产品导入消息提示,登录系统,"1.单届别导入：导入产品数据（包含26届高三单元卷），查看系统消息提示
2.多届别导入：导入产品数据（包含25届和26届），查看系统消息提示
3.多二类导入：导入产品数据（包含多个产品二类），查看系统消息提示","1.消息提示格式为""【高三单元卷】26届更新138条产品，请及时审核！""
2.不同届别拆开发送多条消息，每条消息显示对应届别和数量
3.不同产品二类拆开发送多条消息，每条消息显示对应二类和数量",,1,功能测试,功能测试阶段
/其他系统(#3655),物料进出对账表-原料名称查询,登录系统，进入物料进出对账表页面,"1.查看原料名称查询条件样式
2.在原料名称输入框输入关键字（如""双胶""），点击查询","1.原料名称为输入框，不显示下拉选项
2.列表显示所有包含""双胶""的原料记录，支持模糊匹配",,1,功能测试,功能测试阶段
/其他系统(#3655),生产商品明细查询-查询条件,登录系统，进入生产商品明细查询（无金额）页面,"1.查看产品形态查询条件默认值
2.查看生产订单状态查询条件默认值
3.点击生产订单状态下拉框，选择多个状态，点击查询","1.产品形态默认选中""产品""
2.生产订单状态默认选中""待发布、已接收、生产中、正在收货、已验收完毕、已复审核对、完结""
3.支持多选，列表显示所有选中状态的订单",,1,功能测试,功能测试阶段
/其他系统(#3655),生产商品明细查询-快印理论用纸,登录系统，进入生产商品明细查询页面,"1.查询数据
2.查看列表字段，确认""快印理论用纸""字段显示
3.查看""快印理论用纸""字段值，验证计算公式（印张*印量/1000）","1.列表中显示""快印理论用纸""字段
2.""快印理论用纸""=印张*印量/1000，计算结果正确",,1,功能测试,功能测试阶段
/其他系统(#3655),生产费用查询-新增字段及查询,登录系统，进入生产费用查询页面,"1.查看列表字段（色数、纸令、印张、印量）字段取值
2.在色数输入框输入查询内容（如""4""），点击查询
3.点击事业群下拉框，选择多个事业群，点击查询","1.列表中显示""色数""、""纸令""、""印张""、""印量""字段；色数、纸令、印张来自生产订单+产品编码+结构编号，印量来自生产订单+产品编码
2.列表显示所有包含""4""的色数记录，支持模糊匹配
3.支持多选，列表显示所有选中事业群的数据",,1,功能测试,功能测试阶段
/其他系统(#3655),生产验收对账表-快印理论用纸,登录系统，进入生产验收对账表页面,"1.查看列表字段，确认""快印理论用纸""字段显示
2.查看""快印理论用纸""字段值，验证计算公式（印张*印量/1000）","1.列表中显示""快印理论用纸""字段
2.""快印理论用纸""=印张*印量/1000，计算结果正确",,1,功能测试,功能测试阶段
/其他系统(#3655),统计分类主数据-新增字段及查询,登录系统，进入统计分类主数据页面,"1.查看列表字段，确认""事业群""和""产品中心""字段显示
2.在事业群查询条件中选择事业群，点击查询
3.在产品中心查询条件中选择产品中心，点击查询","1.列表中显示""事业群""和""产品中心""字段
2.列表显示选中事业群的数据
3.列表显示选中产品中心的数据",,1,功能测试,功能测试阶段
/其他系统(#3655),仓储信息管理-WMS库位维护,登录系统，进入仓储信息管理页面,"1.查看页面按钮，确认""WMS库位维护""按钮存在
2.点击""WMS库位维护""按钮，查看弹窗内容
3.在弹窗中点击""增加""按钮，填写库位信息，点击保存
4.选择一条库位记录，点击""删除""按钮
5.修改或新增库位信息，点击""保存""按钮
6.返回列表，查看""WMS库位""字段显示位置
7.查看有多个WMS库位的仓库记录
8.进入生产预约单质检收货页面，选择库位","1.页面显示""WMS库位维护""按钮
2.弹出WMS库位维护弹窗，显示仓库名称和库位名称
3.新增库位数据行成功，库位保存成功
4.库位行删除成功
5.提示""仓库库位保存成功""
6.列表中显示""WMS库位""字段，位置在创建人前面
7.多个WMS库位之间用逗号隔开显示
8.可以选择在WMS库位维护中配置的库位",,1,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证满足所有条件时自动转生产订单,在销售-单命出硫模块创建订单，产品一类为单独命卷，使用类型为试卷，产品有开本,"1.对订单进行转生产计划操作
2.检查生产订单信息","1.生产计划生成成功
a.自动生成待接收状态的生产计划
b.自动接收并触发自动转订单
c.生成生产订单成功
2.生产订单信息正确显示",,1,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证产品一类非单独命卷时不触发自动转订单,在销售-单命出硫模块创建订单，产品一类为非单独命卷，使用类型为试卷，产品有开本,1.对订单进行转生产计划操作,不触发自动转订单流程，需手动转订单,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证使用类型非试卷时不触发自动转订单,在销售-单命出硫模块创建订单，产品一类为单独命卷，使用类型为非试卷（如答题卡），产品有开本,1.对订单进行转生产计划操作,不触发自动转订单流程，需手动转订单,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证产品无开本时不触发自动转订单,在销售-单命出硫模块创建订单，产品一类为单独命卷，使用类型为试卷，产品无开本,1.对订单进行转生产计划操作,不触发自动转订单流程，需等待产品有开本后再转订单,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证同一生产计划多个符合条件产品合并到一个订单,在销售-单命出硫模块创建订单，包含3个产品，均为单独命卷、使用类型试卷、有开本,1.对订单进行转生产计划操作,3个产品合并转到同一个生产订单中，按单品生产订单不勾选,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证部分产品有开本时仅有开本产品先转订单,创建订单包含3个单独命卷试卷产品，其中2个有开本，1个无开本,1.对订单进行转生产计划操作,2个有开本的产品自动转订单，1个无开本的产品不转订单,,2,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证数量按生产计划数量全部转,创建订单，生产计划数量为1000,1.触发自动转订单,生产订单的数量=生产计划数量1000，全部转入,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证生产工艺取快印模版-模版名带快印,印务人员维护快印和传统模版,1.生产订单中的产品的产品一类、产品二类、使用类型、开本、首印/加印和生产订单的合同数量，匹配到快印，检查生产订单的生产工艺取值,生产订单的生产工艺取对应的快印模版,,2,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证生产工艺取传统印刷模版-模版名不带快印（单品工艺绑定工艺模版）,印务人员维护快印和传统模版,1.生产订单中的产品的产品一类、产品二类、使用类型、开本、首印/加印和生产订单的合同数量，匹配到传统，检查生产订单的生产工艺取值,生产订单的生产工艺取传统模版,,2,功能测试,功能测试阶段
/其他系统(#3655),自动转订单时，生产工艺没有匹配到传统模版或者快印模块，生成失败,无,自动转订单时，生产工艺没有匹配到传统模块或者快印模块,自动转生产订单成功，但是不能影响生产计划生成,,2,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证西部站点加工厂取科瑞,创建订单，配送站点为西部站点,1.触发自动转订单,生产订单的加工厂=科瑞,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证北部站点加工厂取唐山三艺,创建订单，配送站点为北部站点,1.触发自动转订单,生产订单的加工厂=唐山三艺,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证南昌站点加工厂取快印配置,在快印配置中配置南昌站点对应的加工厂,"1.创建订单，配送站点为南昌站点
2.触发自动转订单",生产订单的加工厂=快印配置中配置的加工厂；匹配规则（根据产品的产品一类、产品二类、使用类型、开本、首印/加印和生产订单的合同数量）,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证收货仓库取值逻辑,配置收货仓库，名称中带有"单命",1.触发自动转订单，检查收货仓库取值逻辑,收货仓库根据站点、采购公司、事业群及名称带"单命"条件匹配到对应仓库,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证收货仓库匹配不到时的处理,创建订单，站点、采购公司、事业群组合在系统中无对应的单命仓库,1.触发自动转订单,不能能自动转订单,,2,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证追加数量按快印配置取值,在快印配置中配置追加数量规则（产品一类、二类、适用类型、开本、首印/加印、合同数量）,"1.创建符合配置条件的订单
2.触发自动转订单",生产订单的追加数量=快印配置中对应的追加数量,,2,功能测试,功能测试阶段
/其他系统(#3655),首印-单独命卷，验证快印配置缺失时的处理,不配置快印配置或配置不完整,1.创建订单触发自动转订单,不能自动转订单,,2,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证满足所有条件时自动转生产订单,在销售-单命出硫模块创建加印订单，产品一类为单独命卷，使用类型为试卷，产品有开本,1.对订单进行转生产计划操作,"1.自动生成待接收状态的生产计划
2.自动接收并触发自动转订单
3.生成生产订单成功，生产订单信息正确显示",,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证产品一类非单独命卷时不触发自动转订单,创建加印订单，产品一类为非单独命卷，使用类型为试卷，产品有开本,1.对订单进行转生产计划操作,不触发自动转订单流程，需手动转订单,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证使用类型非试卷时不触发自动转订单,创建加印订单，产品一类为单独命卷，使用类型为非试卷，产品有开本,1.对订单进行转生产计划操作,不触发自动转订单流程，需手动转订单,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证产品无开本时不触发自动转订单,创建加印订单，产品一类为单独命卷，使用类型为试卷，产品无开本,1.对订单进行转生产计划操作,不触发自动转订单流程，需等待产品有开本后再转订单,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证同一生产计划多个符合条件产品合并到一个订单,创建加印订单，包含3个产品，均为单独命卷、使用类型试卷、有开本,1.对订单进行转生产计划操作,3个产品合并转到同一个生产订单中，按单品生产订单不勾选,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证数量按生产计划数量全部转,创建加印订单，生产计划数量为500,1.触发自动转订单,生产订单的数量=生产计划数量500，全部转入,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证生产工艺取快印模版-模版名带快印,印务人员维护快印和传统模版,1.生产订单中的产品的产品一类、产品二类、使用类型、开本、首印/加印和生产订单的合同数量，匹配到快印，检查生产订单的生产工艺取值,生产订单的生产工艺取对应的快印模版,,2,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证生产工艺取传统印刷模版-模版名不带快印,印务人员维护快印和传统模版,1.生产订单中的产品的产品一类、产品二类、使用类型、开本、首印/加印和生产订单的合同数量，匹配到传统，检查生产订单的生产工艺取值,生产订单的生产工艺取传统模版,,2,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证西部站点加工厂取科瑞,创建加印订单，配送站点为西部站点,1.触发自动转订单,生产订单的加工厂=科瑞,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证北部站点加工厂取唐山三艺,创建加印订单，配送站点为北部站点,1.触发自动转订单,生产订单的加工厂=唐山三艺,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证南昌站点快印继承最近一次快印加工厂,该产品最近一次快印的加工厂为A厂,"1.创建加印订单，配送站点为南昌站点，本次为快印
2.触发自动转订单",生产订单的加工厂=A厂（继承最近一次快印的加工厂）,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证南昌站点传统印刷继承最近一次传统印刷加工厂,该产品最近一次传统印刷的加工厂为B厂,"1.创建加印订单，配送站点为南昌站点，本次为传统印刷
2.触发自动转订单",生产订单的加工厂=B厂（继承最近一次传统印刷的加工厂）,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证南昌站点无历史记录时取快印配置,该产品无历史印刷记录,"1.创建加印订单，配送站点为南昌站点
2.触发自动转订单",生产订单的加工厂=快印配置中配置的加工厂,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证收货仓库取值逻辑,配置收货仓库，名称中带有"单命",1.触发自动转订单，检查收货仓库取值逻辑,收货仓库根据站点、采购公司、事业群及名称带"单命"条件匹配到对应仓库,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-单独命卷，验证追加数量按快印配置取值-加印场景,在快印配置中配置加印场景的追加数量规则,"1.创建符合配置条件的加印订单
2.触发自动转订单",生产订单的追加数量=快印配置中加印对应的追加数量,,2,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证生产属性为期刊时识别为杂志,创建生产计划，生产属性设置为期刊,"1.印量组导入生产计划
2.手动新增生产计划","1.系统识别为杂志类型，触发杂志自动转订单规则
2.系统识别为杂志类型，触发杂志自动转订单规则",,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证生产属性非期刊时不触发杂志规则,创建生产计划，生产属性设置为非期刊（如图书）,"1.印量组导入生产计划
2.手动新增生产计划",不触发杂志自动转订单规则,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证印量组导入生产计划触发自动接收并转订单,创建生产计划，生产属性为期刊,1.印量组导入生产计划/手动新增生产计划,"1.自动接收生产计划
2.自动触发转订单
3.生成生产订单成功,生产订单信息正确显示",,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证按单品分别转订单-一个单品一个订单,创建生产计划包含3个杂志单品,"1.印量组导入生产计划//手动新增生产计划,触发自动转订单",生成3个生产订单，每个单品对应一个生产订单，按单品生成订单默认勾选,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证数量按生产计划数量全部转,创建生产计划，数量为2000,1.触发自动转订单,生产订单的数量=生产计划数量2000，全部转入,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证生产工艺取快印模版,印务人员维护快印和传统模版,1.生产订单中的产品的产品一类、产品二类、使用类型、开本、首印/加印和生产订单的合同数量，匹配到快印，检查生产订单的生产工艺取值,生产订单的生产工艺取对应的快印模版,,2,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证生产工艺取传统印刷模版,印务人员维护快印和传统模版,1.生产订单中的产品的产品一类、产品二类、使用类型、开本、首印/加印和生产订单的合同数量，匹配到传统，检查生产订单的生产工艺取值,生产订单的生产工艺取传统模版,,2,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证传统印刷加工厂取产品表加工厂,"1.产品表中配置加工厂为十二厂
2.产品属性匹配到快印","1.导入首印杂志生产计划，生产工艺为传统印刷
2.触发自动转订单",生产订单的加工厂=产品表的加工厂（十二厂）,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证快印加工厂-产品表十二厂对应印之坊,"1.产品表中配置加工厂为十二厂
2.产品属性匹配到快印",1.导入首印杂志生产计划/手动新增生产计划，触发自动转订单,生产订单的加工厂=印之坊,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证快印加工厂-产品表红星对应印之坊,"1.产品表中配置加工厂为红星
2.产品属性匹配到快印",1.导入首印杂志生产计划/手动新增生产计划，触发自动转订单,生产订单的加工厂=印之坊,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证快印加工厂-产品表凯顺对应凯顺,"1.产品表中配置加工厂为凯顺
2.产品属性匹配到快印",1.导入首印杂志生产计划/手动新增生产计划，触发自动转订单,生产订单的加工厂=凯顺,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证快印加工厂-产品表茂源对应茂源,"1.产品表中配置加工厂为茂源
2.产品属性匹配到快印",1.导入首印杂志生产计划/手动新增生产计划，触发自动转订单,生产订单的加工厂=茂源,,1,功能测试,功能测试阶段
