所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/生产计划/生产计划(#3040),批量提交功能校验,,"1.选择数据，点击批量提交
2.点击确认","1.弹窗提示：共提交*条生产计划，提交后生产计划状态更改为待接收，请确定！
2.提交成功，生产计划单状态更改为待接收",,1,功能测试,
/生产计划/生产计划(#3040),只有申请状态的计划单可批量提交,,其他状态计划单点击批量提交,不可修改，给出提示,,2,功能测试,
/生产计划/生产计划(#3040),批量接收功能校验,,"1.选择数据，点击批量接收
2.点击确认","1.弹窗提示：共接收*条生产计划，请确认接收，接收后生产计划状态更改为等待处理！
2.提交成功，生产计划单状态更改为等待处理",,1,功能测试,
/生产计划/生产计划(#3040),只有待处理状态的计划单可批量接收,,其他状态计划单点击批量接收,不可操作，给出提示,,2,功能测试,
/生产计划/生产计划(#3040),计划单转订单主流程,,"1.勾选订单明细数据，点击转订单
2.选择加工厂、生产工艺，勾选明细，点击保存
3.选择加工厂、生产工艺，勾选明细，点击转订单
4.选择加工厂、生产工艺，勾选明细，点击批量转订单","1.进入转订单页面
2.保存数据，订单明细状态任为待处理
3.弹出生产计划转订单处理窗口，点击保存，转单完成，订单明细状态为完结
4.转单成功，弹窗提示：共生成 * 条生产订单，请确认！，订单明细状态为完结",,1,功能测试,
/生产计划/生产计划(#3040),转订单页面只显示已选生产计划中待处理的单品明细数据,,勾选计划单点击转订单，查看转订单页面,数据显示正确,,2,功能测试,
/生产计划/生产计划(#3040),批量勾选计划转订单，只有【站点、届别、产品一类、产品二类、生产属性】相同才可以操作,,批量勾选明细数据，其中明细中某一属性不相同，点击转订单,不允许操作，给出提示,,2,功能测试,
/生产计划/生产计划(#3040),只有等待处理的订单才能转订单,,其他状态数据，转订单,不允许操作，给出提示,,2,功能测试,
/生产计划/生产计划(#3040),转订单列表字段约束,,"1.加工厂
2.生产工艺
3.出片状态
4.前次加工厂
5.内文加工厂
6.内文加工厂可用库存
7.总可用库存
8.产品印次
9.印厂印次
10.申请数量
11.已提印数量
12.未提印数量
13.单据编号
14.转单标志
15.其他字段信息取产品表的数据","1.单选，值取供应商里的印厂类，点同步将首行数据填入到勾选的其他行中
2.单选，值取产品关联的生产工艺，点同步将首行数据填入到勾选的其他行中
3.取产品表的数据
4.取该产品相同站点的前次加工厂，首印没有前次加工厂，要手选
5.如果是封扉计划，取的是封扉计划关联内文产品订单转订单的加工厂，没有为空；非封扉计划不显示该项
6.取产品在内文加工厂的可用库存，可用库存=库存+在途（通知生产未入库）-冻结（合同中外协封扉的需求量）；非封扉计划不显示该项
7.取产品在该站点的可用库存（封面按照上面的公式算，产品后期有业务逻辑再算）
8.显示该产品下印次数，以印制单为准，没下印的默认从1开始
9.显示该产品在该印厂的下印次数，以印制单为准，没下印的默认从1开始
10.生产计划的数量
11.本单合同数量求和（已转单）
12.等于申请数量-已提印数量
13.显示的是生产计划单的编号
14.待处理、已完结，若已提印数量≥申请数量，明细显示已完结",,1,功能测试,
/生产计划/生产计划(#3040),转订单页面，选了加工厂和生产工艺，点击保存后，重新进入页面,,转订单页面，选了加工厂和生产工艺，点击保存，重新进入页面,回显选择的印厂和工艺,,1,功能测试,
/生产计划/生产计划(#3040),转订单页面，关闭功能校验,,点击关闭,页面关闭，数据不保存,,1,功能测试,
/生产计划/生产计划(#3040),转订单页面，导出功能校验,,转订单页面，点击导出,导出列表数据，字段同列表一样，导出文件类型为excel；文件内容显示正确,,1,功能测试,
/生产计划/生产计划(#3040),转订单页面，同步前次加工厂功能校验,,转订单页面，勾选行，点击同步前次加工厂,转订单页面，勾选行，点击同步前次加工厂,,1,功能测试,
/生产计划/生产计划(#3040),转订单页面，同步内文加工厂功能校验,,转订单页面，勾选行，点击同步内文加工厂,勾选的行将内文加工厂填入加工厂中，非封扉没有这个按钮,,1,功能测试,
/生产计划/生产计划(#3040),转订单页面，按单科目转生产订单功能校验,,"1.已勾选
2.未勾选
3.转订单页面，按单科目转生产订单默认勾选
","1.转订单时，不同科目转到不同生产订单中
2.转订单时，不同的科目转到相同的生产订单中",,1,功能测试,
/生产计划/生产计划(#3040),转订单页面，批量转订单条件校验,,"1.计划明细可以根据二类自动获取到所属部门、收货仓库、采购公司的值有且只有一个
2.获取不到或者获取到有多个则不能操作批量转订单","1.可以进行批量转订单
2.提示""生产计划PLxxx的产品xxx需手动选择所属部门/收货仓库/采购公司""，具体哪个字段需要选择，则提示显示哪个字段即可，如果多条报错，按照列表从上往下报错提示",,2,功能测试,
/生产计划/生产计划(#3040),转订单-生产计划转订单处理弹窗,,"1.点击转订单
2.点击保存
3.勾选明细，点击追加合同数量","1.弹出转订单处理窗口
2加工厂、是否按单科目转订单逻辑归类，对应生成多个订单页签；保存一个关闭一个，可以继续操作第二个，对应分别显示订单1/保存1，订单2/保存2，以此类推
2.转订单成功，生成一条新的生产订单
3.追加合同数量弹窗",,1,功能测试,
/生产计划/生产计划(#3040),转订单-生产计划转订单处理弹窗数据检查,,"查看主表数据
1.产品二类、届别
2.加工厂
3.配送中心、生产属性
4.下印时间
5.所属部门
6.收货仓库
7.收货地点
8.急件标志
9.生产标志
10.附加税率、运输方式、联系人、联系电话
11.加价类型、加价比率
12.采购公司
13.备注
查看明细数据
1.合同数量
2.合同数量/未提印数量
3.损耗数
4.要求入库时间
5.预计到货日期
6.加价比率、附加税率
7.流水号
8.生产工艺
9.其他信息取产品表数据","1.取计划里数据，不可编辑
2.显示转订单窗口选择的印厂，可修改，下拉选择
3.取生产计划单上配送中心、生产属性，可修改，下拉选择
4.默认为当天+1
5.单选，取成本中心表
6.①如果生产计划没有业务单号，即不是从其他计划转过来的，则根据【发行公司（产品二类选的书名有发行公司）+站点】缩小选项范围，如果只有一个符合条件，则默认这个收货仓库
②如果生产计划有业务单号（比如封扉计划是从内文产品计划转的），且业务单号对应的生产计划转订单是同一个印厂，则收货仓库默认为这个印厂仓库
7.收货仓库显示对应的物理仓库
8.单品在生产计划中有一个是急件的则显示“是”，否则为“否”
9.取计划上的生产标志，首批、追加、改版
10.取印厂档案信息
11.根据加工费用旺季加价配置的逻辑判断是正常还是高峰期加价，默认取过来的值，可以编辑
12.取产品二类书名的签约公司，如果只有一个则默认显示；如果有多个，要手动选，选项是取过来的签约公司
13.限制50字符
1.默认等于未提印数量，可编辑
2.显示百分比，小数点后保留1位
3.封扉计划（封面or彩页）转订单且合同数量小于3000，损耗数默认100，其他默认0
4.根据生产属性、生产标志设置的天数N，按照当前日期+N显示
5.默认跟要求入库时间一样
6.取主表的数据
7.明细的唯一值
8.默认产品上次加工厂的生产工艺，可编辑
9.分发仓库：选择分发仓库",,1,功能测试,
/生产计划/生产计划(#3040),生产计划转订单处理弹窗-添加分发仓库功能,,"1.点击分发仓库
2.选择仓库，填写分发数，点击确定","1.进入选择仓库窗口
2.保存成功，分发仓库数据显示到计划转订单处理弹窗",,2,功能测试,
/生产计划/生产计划(#3040),生产计划转订单处理弹窗-分发仓库列表弹窗,,"1.查看分发仓库列表数据
2.点击分发仓库列表列里的删除
3.分发仓库数量显示规则
4.封扉计划单转订单，分发仓库取【封扉计划（业务单号）→内文产品生产计划→转订单的加工厂】对应的加工厂的仓库
5.有分发仓库的，分发仓库的数量之和要等于合同数
6.如果所有单品的分发仓库都只有一个且相同，这种情况就做不做分发，取这个仓库默认填到上面的收货仓库中，可编辑
7.分发仓库同步","1.分发仓库：回显选择仓库的已选择仓库数据
数量：非必填，手填
2.删除成功
3.已选分发仓库且有数量显示：分发仓库A（300），分发仓库B（200）
已选分发仓库无数量显示为：分发仓库A（-）
无分发仓库的显示：选择+
4.可编辑，取过来的分发仓库如果只有一个，默认数量是合同数量，如果有多个，数量默认空，需要手动填写；
5.否则不能转订单
6.
7.点击同步，将首行的分发仓库同步到下面勾选的行中，只同步仓库，不同步数量。",,2,功能测试,
/生产计划/生产计划(#3040),分发仓库列表-选择仓库弹窗,,"1.分发仓库弹窗，点击选择仓库
2.搜索功能
3.选择左边仓库到右边
4.选择右边仓库到左边
5.点击确定","1.弹出选择分发仓库弹窗
2.仓库名称模糊搜索
3.添加仓库到已选择仓库中
4.移除已选择的仓库
5.已选择的仓库添加到分发仓库列表里",,2,功能测试,
/生产计划/生产计划(#3040),生产计划转订单处理弹窗-追加合同数量功能,,"1.点击追加合同数量
2.填写数量（支持填负数），点击确定","1.弹出追加合同数量弹窗
2.提交成功，勾选的明细合同数量在原值基础上统计加上填写的追加合同数量值",,2,功能测试,
/生产计划/生产计划(#3040),转封扉计划主流程,,"1.勾选一个或多个计划【届别、产品一类、产品二类】相同，点击转封面计划
2.填写转单数量，点击转封扉生产计划
3.填写数据，点击保存","1.进入转封扉计划页面
2.弹出转封扉计划处理窗口
3.转封扉计划成功，回到转封扉计划页面",,1,功能测试,
/生产计划/生产计划(#3040),转封扉计划页面搜索,,"1.页面显示选中计划明细单品工艺中有封面或彩页的数据，按照【生产计划-产品-封面/彩页]显示一行
2.默认显示封面的数据
3.届别、产品一类、产品二类是前面选的生产计划带过来的，下拉选择
4.产品形态默认封面，选项有“封面”“彩页”，单选，选中封面，显示封面，选中彩页，显示彩页
5.使用类型多选
6.封面标志表示生产计划是否含封扉，默认不选，可选“是”“否”
7.生产计划单号：输入查询，模糊匹配
8.产品名称关键字：支持输入多个关键字，用逗号（中英文都支持）隔开查询，关键字不管顺序，查的是产品名称中含有全部关键字的产品，全局的产品名称关键字都是这个查询逻辑
是否缺量：勾选查的是未转封扉计划的数据，不勾选查的是全部的",,,2,功能测试,
/生产计划/生产计划(#3040),转封扉计划列表字段校验,,"列表显示的数据是：已勾选生产计划中的产品关联产品的部件数据
1.转单数量
2.转单比率
3.产品安排量
4.已转数量
5.产品形态
6.内文加工厂
7.产品方案
8.信息从生产计划表、产品表中取数据","1.输入，不超过产品计划量-已转数量
2.等于（转单数量+已转数量）/产品计划量
3.显示产品计划转订单的数量
4.已经转封扉的数量
5.封面、彩页
6.取产品计划转订单的加工厂
7.取产品计划转订单选的产品方案",,1,功能测试,
/生产计划/生产计划(#3040),系统自动转封扉计划校验（封面、彩页）,,"要同时满足以下条件：
	（1）产品的单品工艺（如果有多个，取最早建的那个，即编号最小的）中结构类型为外协的有封面、彩页，自动转封扉计划
	（2）产品的生产计划没有转过封扉计划（业务编号关联）
	（3）产品的封扉计划1对1转封扉，转过的不能再转
	（4）生产计划的生产标志为首批or追加，改版的不自动转封扉
	（5）自动转封扉的节点是【接收】产品计划",,,2,功能测试,
/生产计划/生产计划(#3040),转封扉计划处理弹窗校验,,"1.点击转封扉计划
2.查看列表数据
3.点击保存","1.弹出转封扉计划处理弹窗
2.相同封面合并成一条数据
届别和产品二类是带过来的，不可编辑
生产标志：同一个配送中心，该产品没有转过生产订单（即没有生产计划或有生产计划未转单）为首批，否则为追加
配送中心：选择框，无默认值，选择配送中心之后可判断出来生产标志
生产属性：选择框，默认封扉
是否含封扉：默认不勾选
备注：50字符
急单标志同内文产品的急单标志，如果是多个内文产品合并的封面，有一个急单就显示急单
转单数量从【转订单】页面带过来
其他数据取值来自【生产计划：主表数据、明细表数据】
3.转单成功",,1,功能测试,
/生产计划/生产计划(#3040),计划调整功能校验,,"1.选择计划单，点击计划调整
2.调整计划单信息，点击提交
3.点击关闭
4.仅支持修改生产标志、配送中心、生产属性、是否含封扉、备注及明细的申请数量","1.进入计划调整页面
2.调整成功，计划单显示调整后的信息
3.页面关闭，信息不保存",,1,功能测试,
/生产计划/生产计划(#3040),只有等待处理的计划可调整生产计划,,其他状态，点击计划调整,其他状态，点击计划调整,,2,功能测试,
/生产计划/生产计划(#3040),退回功能校验,,"1.选择计划单，点击退回
2.点击退回
3.点击关闭","1.进入退回页面
2.计划单退回成功，计划单状态为返单；不支持批量操作
3.页面关闭",,1,功能测试,
/生产计划/生产计划(#3040),只有待接收、等待处理状态计划单才可退回,,其他状态计划单，点击退回,不允许操作，给出提示,,2,功能测试,
/生产计划/生产计划(#3040),已经转了一部分生产订单的计划单不可退回,,选中已经转了一部分生产订单的计划单，点击退回,不允许操作，给出提示,,2,功能测试,
/生产计划/生产计划(#3040),退回已转封扉计划的产品计划,,"1.封扉计划未转订单，选中产品计划点退回
2.封扉计划已经转订单，选中产品计划点退回","1.产品计划退回成功；自动报废封扉计划
2.产品计划退回成功；封扉计划不报废",,2,功能测试,
/生产计划/生产计划(#3040),新增计划单主流程,,"1.点击新增
2.数据，点击确定
3.填写数据，点击提交","1.进入新增页面
2.新增一条申请状态的计划单，页面关闭
3.新增一条待接收状态的计划单，页面关闭",,1,功能测试,
/生产计划/生产计划(#3040),修改计划单功能,,"1.点击修改
2.修改数据（届别、产品一类、产品二类不可修改），点击确定
3.修改数据（届别、产品一类、产品二类不可修改），点击提交","1.进入修改页面，数据回显正确
2.修改成功，计划单为申请状态，页面关闭
3.修改成功，计划单为待接收状态，页面关闭",,1,功能测试,
/生产计划/生产计划(#3040),修改计划单，只有申请、返单状态可修改,,选择其他状态计划单，点击修改,不允许修改，给出提示,,2,功能测试,
/生产计划/生产计划(#3040),新增/修改计划单字段约束,,"详情信息：
届别、产品一类、产品二类、是否含封扉、生产标志、配送中心、生产属性为必填项
1.届别
2.产品一类
3.产品二类
4.是否含封扉
5.生产标志
6.配送中心
7.生产属性
8.备注
计划明细：
1.产品名称、定价、捆扎数、销售状态、出片状态、下标、印厂、书号、排序号、产品编码
产品印次
2.急单标志
3.申请数量
4.已转单数量
5.要求入库时间
6.计划码洋
7.供货码洋
8.捆+零数
9.合计","1.下拉选择，枚举值取届别表
2.下拉搜索选择，枚举值取产品表的产品一类；如果先选了产品二类，回显产品一类
3.下拉搜索选择，枚举值取产品表的产品二类；选择了产品一类，产品二类联动产品一类
4.默认不勾选
5.下拉选择，枚举值：首批、追加、改版
6.下拉选择，枚举值：南昌站点、成都站点、唐山站点、咸宁站点
7.下拉选择，值取产品里的生产属性
8.限制50字符
1.取产品里的数据
2.显示该产品下印次数，以印制单为准，没下印的默认从1开始
3.选择，是、否
4.整数
5.转订单的合同数量之和
根据生产属性+生产标志配置的天数N，从当前时间往后＋N，可编辑，若编辑，则显示编辑后的日期
6.定价*申请数量
7.定价*已提印数量
8.根据申请数量和捆扎数计算，比如申请数量1000，捆扎数为300，捆+零数=3+100
9.申请数量、已提印数量、计划码洋、供货码洋求和",,1,功能测试,
/生产计划/生产计划(#3040),新增/修改计划单-批量选择产品弹窗,,"1.届别、产品一类、产品二类必选后，才能点击【批量选择产品+】
2.弹出添加产品弹窗；产品显示到计划明细中
届别、产品一类、产品二类作为查询条件筛选，不能修改
3.上面窗口所选产品，点击添加
4.选中下面窗口的产品，点击移除
5.选择产品明细后再修改届别、产品一类、产品二类
6.弹窗数据校验","1.点击批量选择产品，选择产品点击确定
2.弹窗数据过滤
产品形态、同步系统、销售状态、发货状态下拉单选
存储属性多选搜索
产品名称多关键词搜索
年级、销售内码关键词搜索
3.产品添加到下面窗口
4.产品被移除
5.弹窗提示明细数据会清空，确认则清空数据，取消保留原查询条件
显示正确：序号、届别、产品二类、使用类型、年级、科目、版本、地方版、模块、批次、学期、定价、销售内码、产品名称、销售状态、存储属性、事业群、发货状态",,1,功能测试,
/生产计划/生产计划(#3040),新增/修改计划单-删除产品,,"1.选择明细产品，点击删除单品
2.点明细上的删除","1.删除成功；批量删除
2.删除成功；删除列冻结",,1,功能测试,
/生产计划/生产计划(#3040),删除计划单功能,,"1.选择数据，点击删除
2.点击确认删除","1.弹窗提示：共删除*条生产计划，删除后不可恢复，请确认！
2.删除成功",,1,功能测试,
/生产计划/生产计划(#3040),只有申请、返单、报废状态可删除,,选择其他状态数据，点击删除,不允许删除，给出提示,,2,功能测试,
/生产计划/生产计划(#3040),完结计划功能按钮,,"1.选中计划明细，点击完结计划
2.选中计划明细，点击完结
3.点击确认","1.进入完结计划页面
2.弹窗确认：未转单完毕，确认完结，完结后不可修改
3.关闭页面；计划明细状态为已完结",,1,功能测试,
/生产计划/生产计划(#3040),当所有明细都完结时，计划单状态更新为完成,,所有明细都完结时,计划单状态更新为完成,,2,功能测试,
/生产计划/生产计划(#3040),只有等待处理状态计划明细能完结,,其他状态明细点击完结,其他状态明细点击完结,,2,功能测试,
/生产计划/生产计划(#3040),报废功能校验,,"1.选中计划单，点击报废
2.点击确认
3.支持批量操作","1.弹窗确认：共报废*条计划单，报废后不可恢复，请确认！
2.计划单状态更新为报废",,1,功能测试,
/生产计划/生产计划(#3040),只有申请、返单状态计划单可报废,,其他状态计划单点击报废,不可操作，给出提示,,2,功能测试,
/生产计划/生产计划(#3040),接受确认功能校验,,"1.选中计划单，点击接收确认
2.点击确认","1.弹出接受确认窗口
2.状态更新为等待处理",,1,功能测试,
/生产计划/生产计划(#3040),只有待接收状态计划单可接收确认,,其他状态计划单，点击接收确认,不可操作，给出提示,,2,功能测试,
/生产计划/生产计划(#3040),生产明细产品是单命产品，点击申请数量，弹出单命产品包装规格明细弹窗,,点击申请数量,"1.弹出单命产品包装规格明细弹窗
2.数据显示正确：序号、订单号、产品名称、类型、申请数量、规格、数量、订单明细流水码",,2,功能测试,
/生产计划/生产计划(#3040),单命计划单转订单，单个产品只能全量转,,单个产品转一部分到订单,转单失败，给出提示,,2,功能测试,
